trial,time,error
1,1.51415e+06,0
1,23220,0.000113753
1,207020,0.35015
1,1.06632e+06,3.29248e-06
1,2.86226e+06,3.25867e-08
1,3.0512e+06,0.000656739
1,3.01073e+06,6.56722e-06
1,3.01715e+06,6.56748e-08
1,3.00517e+06,6.56737e-10
1,3.11816e+06,4.60088e-10
2,3.01911e+06,0
2,30397,0.000111485
2,267645,9.19043e-07
2,1.30633e+06,2.82315e-07
2,2.52417e+06,3.21602e-08
2,3.09663e+06,1.82092e-11
2,2.95719e+06,4.48907e-06
2,2.96424e+06,4.07146e-06
2,2.95022e+06,1.10931e-11
2,3.07921e+06,5.21835e-11
3,1.50801e+06,0
3,34097,0.00747298
3,250665,7.47598e-05
3,1.40871e+06,3.33564e-06
3,2.53839e+06,3.32603e-08
3,2.99966e+06,0.00270642
3,3.0377e+06,2.70639e-05
3,3.04338e+06,2.70638e-07
3,2.96508e+06,2.70638e-09
3,2.98393e+06,6.56725e-12
4,3.13331e+06,0
4,31544,3.17269e-06
4,272362,3.17269e-06
4,1.37266e+06,3.10184e-06
4,2.55941e+06,3.1478e-06
4,2.92001e+06,2.31772e-06
4,2.96117e+06,2.86662e-13
4,2.94138e+06,2.74658e-15
4,2.93976e+06,1.7105e-18
4,3.14924e+06,1.1149e-10
5,1.53673e+06,0
5,31280,7.89325e-05
5,276924,2.93287e-05
5,1.31387e+06,2.76258e-07
5,2.5526e+06,0.039694
5,3.0878e+06,0.000396942
5,3.06795e+06,3.96943e-06
5,3.04752e+06,3.96943e-08
5,3.01306e+06,3.96939e-10
5,2.9415e+06,0.0592722
6,3.00392e+06,0
6,34973,0.000123315
6,248541,0.09102
6,1.26445e+06,0.121421
6,2.5014e+06,0.00121433
6,2.92697e+06,1.21407e-05
6,2.95055e+06,0.068086
6,3.03278e+06,0.00068086
6,2.96976e+06,6.80855e-06
6,2.95016e+06,0.0785807
7,1.4947e+06,0
7,30470,9.58146e-05
7,274490,2.71598e-05
7,1.28388e+06,0.168635
7,2.50365e+06,3.25827e-08
7,2.83427e+06,0.607167
7,2.94722e+06,0.496115
7,3.00608e+06,0.00804948
7,2.93254e+06,8.04948e-05
7,2.98944e+06,0.0726853
8,2.99088e+06,0
8,31257,1.00464e-06
8,281381,1.5815e-07
